SERIAL,FARE,FAREK,SPEND,SPENDIMPREASON
230031209008,,,,
230031209012,45,,600,
230031209013,100,,586,
230031209018,38,1,,
230031209021,75,,375,
230031209022,44,1,775,
230031209023,,,,
230031209024,45,,130,
230031209028,59,1,4167,
230031209033,73,0,,
230031209034,40,,400,
230031209037,89,2,,
230031209038,60,2,1303,
230039437020,75,,500,
230039437026,62,0,314,
230039437027,100,,174,
230039437028,91,0,,
230039437031,77,0,701,
230039437032,65,0,383,
230039437033,45,,608,
230039437038,52,1,,
230039437042,68,3,163,
230039437043,80,3,,
230039437045,70,1,,
230039437049,75,,304,
230039437050,,,,
230039437051,32,,587,
230039437052,55,3,,
230039437053,63,,425,
230039437057,91,1,,
230039437060,60,2,358,
230039437061,,,,
230039437064,89,2,,
230039437066,60,2,428,
230039635023,,,,
230039635025,50,0,,
230039635031,,,,
230039635032,65,0,533,
230039635033,176,7,130,
230039635035,65,0,1020,
230039635036,44,1,484,
230039635038,65,,260,
230039635047,63,,261,
230039635048,55,3,,
230039635052,55,0,,
230039635053,109,,499,
230039635054,12,2,456,
230039635057,49,2,377,
230039635061,75,,587,
230039635062,60,2,540,
230039635066,76,2,1131,
230039635067,71,2,168,
230039841104,30,,327,
230039841105,,,,
230039841109,58,1,507,
230039841110,53,,379,
230039841113,,,,
230039841120,73,0,,
230039841124,44,1,1070,
230039841134,90,,174,
230039841135,77,1,299,
230039841136,75,,1822,
230039841139,76,2,139,
230039841140,60,2,589,
230039878072,60,,260,
230039878076,62,0,718,
230039878079,43,0,,
230039878080,69,,174,
230039878081,73,0,,
230039878082,58,1,617,
230039878083,58,1,610,
230039878084,62,0,919,
230039878085,91,0,,
230039878086,65,0,260,
230039878088,,,,
230039878090,54,3,,
230039878091,31,,500,
230039878093,63,,461,
230039878094,100,,607,
230039878095,80,3,521,
230039878097,100,,434,
230039878099,75,,350,
230039878102,71,2,,
230039878103,60,2,851,
230039878104,76,2,1047,
230039878106,76,1,498,
230039878108,,,,
230039878110,76,1,,
230039878114,89,2,,
230039878116,60,2,381,
230039878117,76,2,537,
230039926132,47,1,418,
230039926136,62,0,415,
230039926137,50,,434,
230039926140,65,0,342,
230039926142,77,0,638,
230039926144,68,,304,
230039926145,60,,434,
230039926146,25,,347,
230039926147,38,1,1000,
230039926149,80,,868,
230039926151,62,0,1420,
230039926152,53,1,580,
230039926153,53,1,1353,
230039926155,26,,325,
230039926156,43,,450,
230039926158,,,,
230039926159,55,3,,
230039926160,56,,375,
230039926161,60,2,460,
230039926162,76,2,1156,
230039926163,,,,
230039926164,,,,
230039926166,64,1,804,
230039926170,43,,400,
230041607001,68,1,0,
230041607012,52,1,,
230041607032,73,0,,
230041607034,73,5,,
230041607037,77,5,,
230049543003,55,3,,
230049543015,73,0,0,
230049543023,77,5,0,
230049543025,73,0,,
230049543027,73,0,,
230049543036,,,,
230049543037,45,1,474,
230049543048,89,1,,
230049841005,80,3,,
230049841010,68,1,,
230049841013,68,1,22,
230049841019,52,1,,
230049841021,68,1,,
230049841030,73,0,,
230049841034,68,1,,
230049841037,73,0,,
230049841038,60,0,27,
230049841040,68,1,,
230049841054,56,1,,
230049841062,89,1,,
230049878007,73,0,,
230049878011,73,0,,
230049878012,73,0,,
