SERIAL,FARE,FAREK,SPEND,SPENDIMPREASON
232218785026,346,5,,
232218785030,312,3,,
232218785032,,,,
232218785033,67,5,,
232218785038,330,3,,
232218785039,,,,
232218785043,116,4,,
232218785044,312,3,,
232218785046,524,3,,
232218785047,61,4,,
232218785051,67,5,,
232218785052,78,5,,
232218853001,364,3,,
232218853002,297,,0,
232218853006,255,5,,
232218853007,312,3,,
232218853011,67,5,,
232218853012,312,3,,
232218853016,312,3,,
232218853018,61,4,,
232218853024,312,3,,
232218853025,330,3,,
232218853026,267,5,,
232218853027,267,5,,
232218853032,355,5,,
232218853033,101,5,,
232218853036,78,5,,
232218853038,355,5,,
232218853042,364,3,,
232218853045,67,5,,
232218853046,500,,1000,
232218853049,94,4,0,
232218853051,78,5,,
232228214003,,,,
232228214006,267,5,,
232228214010,312,3,,
232228214011,67,5,,
232228214012,,,,
232228214018,267,5,,
232228214020,100,4,,
232228214021,102,4,,
232228214022,78,5,,
232228214026,,,,
232228214028,267,5,,
232228214032,67,5,,
232228214035,102,4,,
232228214038,,,,
232228214039,67,5,,
232228214044,98,6,,
232228214045,,,,
232228214047,364,3,,
232228214050,346,5,,
232228214051,346,5,,
232228214052,346,5,,
232228214057,346,5,,
232228214058,125,,521,
232228214064,267,5,,
232228214065,267,5,,
232228214068,250,,1000,
232228214070,267,5,,
232228214072,364,3,,
232228214073,312,3,,
232228214078,355,5,,
232228214082,270,,600,
232228214083,,,,
232228267004,67,5,,
232228267005,67,5,,
232228267006,89,,250,
232228267008,78,5,,
232228267011,,,,
232228267012,346,5,,
232228267019,,,,
232228267020,364,3,,
232228267022,346,5,,
232228267023,267,5,,
232228267027,267,5,,
232228267028,,,,
232228267034,,,,
232228267035,450,,200,
232228267037,72,5,,
232228267040,346,5,,
232228267041,181,6,,
232228267043,,,,
232228267044,267,5,,
232228267046,,,,
232228267049,102,4,,
232228267051,267,5,,
232228267053,267,5,,
232228267058,225,,503,
232228267060,267,5,,
232228267061,67,5,,
232228267062,72,5,,
232228395001,67,5,,
232228395008,312,3,,
232228395009,312,3,,
232228395014,267,5,,
232228395015,101,5,,
232228395016,169,7,,
232228395018,61,4,,
232228395022,102,4,,
232228395025,67,5,,
232228395026,90,,1000,
232228395027,98,6,,
232228395033,98,6,,
232228395035,74,5,,
232228395036,98,6,,
232228395037,74,5,,
232228395041,67,5,,
232228395042,72,5,,
232228395049,267,5,,
232228395050,267,5,,
232228395051,330,3,,
232228395052,238,,500,
232228395058,346,5,,
232228395059,346,5,,
232228395064,94,4,,
232228395065,,,,
232228395066,94,4,,
232228395069,72,4,,
232228759002,,,,
232228759004,169,7,,
232228759006,,,,
232228759007,312,3,,
232228759011,375,,250,
232228759014,,,,
232228759016,,,,
232228759017,,,,
232228759022,324,5,,
232228759023,,,,
232228759026,94,4,,
232228759027,67,5,,
232228759034,,,,
232228759035,346,5,,
232228759037,267,5,,
232228759040,142,5,,
232228759042,61,4,,
232228759044,364,3,,
232228759046,,,,
232228759047,52,4,,
232228759051,,,,
232228759053,94,4,,
232228759056,346,5,,
232228759059,312,3,,
232228759061,312,3,,
232228759062,364,3,,
232228759069,,,,
232228759070,312,3,,
232228759072,,,,
232228759073,364,3,,
232228759077,346,5,,
232228759081,67,5,,
232228759084,,,,
232228854001,67,5,,
232228854002,181,6,,
232228854009,61,4,,
232228854010,,,,
232228854011,324,5,,
232228854014,101,5,,
232228854018,,,,
232228854019,731,5,800,
232228854021,,,,
232228854022,78,5,,
232228854027,,,,
232228854032,74,5,,
232228854035,74,5,,
232228854036,,,,
232228854037,101,5,,
232228854042,,,,
232228854043,101,5,,
232228854046,312,3,,
232228854050,110,,600,
232228854052,355,5,,
232228854055,,,,
232228854059,,,,
232228854060,,,,
232228854062,67,5,,
232228854063,,,,
232228854066,67,5,,
232228854068,,,,
232228884003,,,,
232228884005,98,6,,
232228884006,,,,
232228884010,,,,
232228884011,352,5,,
232228884012,232,,333,
232228884016,,,,
232228884020,,,,
232228884022,67,5,,
232228884024,,,,
232228884027,74,5,,
232228884028,,,,
232228884031,111,2,100,
232228884032,142,5,700,
232228884040,,,,
232228884044,67,5,,
232228884045,,,,
232228884046,,,,
232228884051,95,,600,
232228884052,,,,
232228884059,,,,
232228884060,,,,
232228884061,74,5,,
232228884062,,,,
232238074001,169,7,,
232238074003,364,3,,
232238074007,61,4,,
232238074019,98,4,,
232238074024,279,3,,
232238074025,,,,
232238074026,352,5,,
232238074027,352,5,,
232238074033,250,,1000,
232238074035,83,6,3209,
232238074036,312,3,,
232238074039,150,,1000,
232238074041,94,4,,
232238074045,67,5,,
232238074048,98,6,,
232238074050,100,,174,
232238074051,267,5,,
232238074054,346,5,,
232238074056,375,,,
232238074058,385,,500,
232238074063,227,5,1310,
232238074065,267,5,,
232238074066,101,5,,
232238074069,,,,
232238074074,346,5,,
232238074075,346,5,,
232238074076,267,5,,
232238074077,267,5,,
232238074082,169,7,,
232238074083,,,,
232238074086,450,,,
232238074090,364,3,,
232238074092,312,3,,
232238404002,350,,200,
232238404003,312,3,,
232238404006,169,7,,
232238404011,102,4,,
232238404012,,,,
232238404014,,,,
232238404016,67,5,,
232238404018,61,4,,
232238404024,74,5,,
232238404025,74,5,,
232238404027,94,4,,
232238404028,324,5,,
232238404032,,,,
232238404035,101,5,,
232238404037,101,5,,
232238404038,340,,300,
232238404042,,,,
232238404043,61,4,,
232238404046,267,5,,
232238404050,98,6,,
232238404051,267,5,,
232238404052,330,3,,
232238404056,,,,
232238404059,267,5,,
232238404060,267,5,,
232238404061,267,5,,
232238404065,,,,
232238404066,115,,200,
232238404067,78,5,,
232238443007,,,,
232238443009,98,6,,
232238443011,100,4,,
232238443014,,,,
232238443019,,,,
232238443020,98,6,,
232238443022,101,5,,
232238443023,352,5,,
232238443026,267,5,,
232238443027,267,5,,
232238443033,,,,
232238443035,267,5,,
232238443038,346,5,,
232238443039,267,5,,
232238443041,,,,
232238443042,410,,300,
232238854001,,,,
232238854002,61,4,,
232238854009,225,,309,
232238854011,267,5,,
232238854013,74,5,,
232238854017,101,5,,
232238854018,,,,
232238854021,102,4,,
232238854024,,,,
232238854027,67,5,,
232238854029,61,4,,
232238854031,,,,
232238854032,267,5,,
232238854039,101,5,,
232238854041,346,5,,
232238854042,,,,
232238854047,,,,
232238854050,,,,
232238854051,267,5,,
232238854054,,,,
232238961001,181,6,,
232238961002,312,3,,
232238961009,,,,
232238961013,102,4,,
232238961015,,,,
232238961017,312,3,,
232238961019,,,,
232238961023,67,5,,
232238961025,102,4,,
232238961026,102,4,,
232238961027,100,4,,
232238961034,,,,
232238961035,67,5,,
232238961038,40,,1500,
232238961041,110,,300,
232238961045,325,,250,
232238961047,61,4,,
232238961048,330,3,,
232238961052,67,5,,
232238961055,94,4,,
232238961058,267,5,,
232238961060,346,5,,
232238961061,116,4,,
232238961064,364,3,,
232238961067,74,5,,
232238962004,267,5,,
232238962006,143,7,2504,
232238962008,,,,
232238962012,,,,
232238962013,169,7,,
232238962016,346,5,,
232238962017,267,5,,
232238962022,98,6,,
232238962023,,,,
232238962028,346,5,,
232238962029,98,6,,
232238962031,346,5,,
232238962035,94,4,,
232238962039,267,5,,
232238962040,44,4,,
232238962044,267,5,,
232238962045,,,,
232238962046,,,,
232238962054,175,,694,
232238962055,67,5,,
232238962057,61,4,,
232238962058,267,5,,
232238962061,,,,
232238962062,346,5,,
232238962067,364,3,,
232238962069,,,,
232238962072,,,,
232238962073,312,3,,
232238962077,,,,
232238982001,67,5,,
232238982002,312,3,,
232238982006,312,3,,
232238982012,,,,
232238982013,169,7,,
232238982016,101,5,1302,
232238982018,,,,
232238982022,78,5,,
232238982025,68,4,,
232238982026,160,5,,
232238982027,,,,
232238982031,98,6,,
232238982032,74,5,,
232238982037,94,4,434,
232238982039,200,,,
232238982041,30,,400,
232238982042,,,,
232238982047,346,5,,
232238982050,364,3,,
232238982054,355,5,,
232238982055,524,3,,
232238982057,364,3,,
232238982058,154,6,,
232258055002,364,3,1640,
232258055005,,,,
232258055006,312,3,,
232258055010,67,5,,
232258055011,34,4,,
232258055013,34,4,65,
232258055016,94,4,115,
232258055020,135,4,,
232258055021,346,5,,
232258055022,,,,
232258055027,312,3,,
232258055028,,,,
232258055031,34,4,,
232258055032,,,,
232258055036,,,,
232258055038,101,5,,
232258055041,,,,
232258055042,312,3,,
232258055049,,,,
232258055050,355,5,,
232258055051,,,,
232258055052,117,5,415,
232258055057,,,,
232258055060,,,,
232258055061,355,5,,
232258393001,255,5,1015,
232258393003,1671,5,515,
232258393006,67,5,,
232258393007,67,5,,
232258393013,117,5,215,
232258393014,67,5,,
232258393016,312,3,,
232258393018,98,6,,
232258393020,,,,
232258393021,,,,
232258393023,346,5,,
232258393027,524,3,,
232258393028,,,,
232258393031,78,5,,
232258393032,312,3,,
232258393039,61,4,,
232258393040,312,3,,
232258393041,,,,
232258393042,364,3,515,
232258393050,61,4,,
232258393055,,,,
232258393056,,,,
232258393059,,,,
232258691001,142,5,,
232258691003,,,,
232258691007,67,5,,
232258691010,,,,
232258691011,72,5,,
232258691013,312,3,981,
232258691018,,,,
232258691019,142,5,65,
232258691021,102,4,,
232258691022,,,,
232258691026,,,,
232258691027,312,3,,
232258691032,61,4,,
232258691035,312,3,,
232258691037,364,3,,
232258691038,116,4,,
232258691041,67,5,115,
232258691045,267,5,,
232258691047,267,5,165,
232258691050,346,5,,
232258691054,57,5,35,
232258691055,,,,
232258691056,,,,
232258691057,587,7,,
232258725002,330,3,15,
232258725003,267,5,,
232258725008,355,5,30,
232258725012,267,5,,
232258725013,1671,3,787,
232258725019,267,5,,
232258725020,346,5,,
232258725021,98,6,,
232258725023,,,,
232258725025,312,3,,
232258725026,,,,
232258725028,135,4,,
232258725034,312,3,,
232258725035,267,5,,
232258725036,,,,
232258725037,,,,
232258725045,101,5,,
232258725047,61,4,,
232258725050,587,7,515,
232258725051,524,3,,
232258725052,142,5,145,
232258725057,101,5,0,
232258725060,,,,
232258725062,312,3,3491,
232258725063,,,,
232258725067,255,5,,
232258785004,1671,3,1515,
232258785005,,,,
232258785008,355,5,82,
232258785010,94,4,,
232258785012,355,5,,
232258785014,524,3,,
232258785017,67,5,,
232258785018,352,5,,
232258785021,312,3,515,
232258785025,34,4,90,
232258785027,,,,
232258785030,312,3,0,
232258785032,346,5,,
232258785034,,,,
232258785037,524,3,,
232258785043,267,5,,
232258785044,346,5,,
232258785048,267,5,,
232258785049,312,3,,
232258785051,437,6,2015,
232258785053,330,3,,
232258785060,67,5,,
232258785061,34,4,,
232258785063,181,6,,
232258785068,346,5,465,
232258785069,,,,
232258785070,,,,
232258785072,67,5,,
232258868001,67,5,,
232258868002,267,5,265,
232258868006,169,7,,
232258868008,67,5,,
232258868011,267,5,,
232258868012,267,5,282,
232258868019,364,3,,
232258868027,,,,
232258868030,364,3,205,
232258868032,346,5,,
232258868035,312,3,,
232258868037,587,7,15,
232258868043,267,5,,
232258868047,587,7,787,
232258868049,78,5,,
232258868052,78,5,401,
232258868054,78,5,665,
232258868057,,,,
232258868059,267,5,,
232258868061,267,5,,
232258868066,312,3,247,
232258868067,67,5,0,
232258868073,67,5,,
232258868077,557,5,,
232258868078,,,,
232258868083,312,3,,
232258868085,,,,
232258868087,587,7,215,
232258868088,181,6,,
232268222002,364,3,12,
232268222008,,,,
232268222011,74,5,,
232268222017,67,5,,
232268222028,52,4,1386,
232268222029,61,5,781,
232268222031,100,4,,
232268222033,,,,
232268222037,267,5,0,
232268222038,67,5,1515,
232268222041,255,5,,
232268222042,267,5,515,
232268443001,100,4,,
232268443007,100,4,,
232268443010,102,4,,
232268443011,346,5,1015,
232268443014,355,5,315,
232268443016,,,,
232268443020,355,5,,
232268443023,,,,
232268443025,,,,
232268443026,34,4,232,
232268443027,,,,
232268443032,101,5,,
232268443035,,,,
232268443036,267,5,,
232268443038,340,5,,
232268443041,,,,
232268443042,,,,
232268443046,,,,
232268443049,,,,
232268769003,,,,
232268769004,,,,
232268769008,94,4,,
232268769009,94,4,20,
232268769013,346,5,,
232268769018,,,,
232268769022,,,,
232268769024,346,5,6368,
232268769027,,,,
232268769032,,,,
232268769040,,,,
232268769047,,,,
232268769049,,,,
232268769053,,,,
232268769054,,,,
232268769057,,,,
232268769058,,,,
232268769061,116,4,,
232268769064,,,,
232268769066,,,,
232268769069,,,,
232268921002,100,4,,
232268921004,312,3,,
232268921008,101,5,10,
232268921012,61,4,,
232268921013,,,,
232268921020,,,,
232268921024,456,3,,
232268921025,34,4,415,
232268921027,101,5,20,
232268921029,,,,
232268921031,72,5,,
232268921037,67,5,215,
232268921039,34,4,,
232268921041,,,,
232268921047,,,,
232268921050,340,5,,
232268921052,330,3,,
232278107001,364,3,4649,
232278107004,72,4,,
232278107007,34,4,390,
232278107008,67,5,,
232278107013,587,7,515,
232278107015,102,4,,
232278107018,,,,
232278107019,72,4,,
232278107022,123,7,1015,
232278107026,255,5,,
232278107028,34,4,265,
232278107031,,,,
232278107032,78,5,15,
232278107038,267,5,,
232278107039,67,5,35,
232278107047,587,7,1015,
232278107050,267,5,,
232278107052,,,,
232278107053,330,3,,
232278107057,267,5,1015,
232278107060,74,5,,
232278107061,352,5,,
232278107062,352,5,,
232278214001,,,,
232278214002,267,5,,
232278214009,,,,
232278214010,34,4,,
232278214015,1671,3,1015,
232278214016,,,,
232278214017,74,5,1095,
232278214023,142,5,515,
232278214026,74,5,,
232278214028,135,4,,
232278214032,74,5,,
232278214033,587,7,2515,
232278214037,,,,
232278214041,102,4,1015,
232278214047,169,7,,
232278214048,346,5,1015,
232278214051,181,6,,
232278214052,352,5,,
232278222001,102,4,,
232278222004,250,5,,
232278222007,,,,
232278222009,250,5,,
232278222012,67,5,,
232278222013,,,,
232278222019,267,5,,
232278222020,123,7,415,
232278222024,346,5,,
232278222025,34,4,,
232278222026,255,5,,
232278222027,,,,
232278222033,267,5,,
232278222035,267,5,0,
232278222039,346,5,1015,
232278222040,267,5,,
232278222042,100,4,,
232278222043,100,4,,
232278222048,169,7,,
232278222049,,,,
232278395003,267,5,,
232278395004,346,5,,
232278395009,94,4,315,
232278395010,78,5,515,
232278395012,169,7,615,
232278395015,309,3,144,
232278395019,61,4,,
232278395021,731,5,315,
232278395025,34,4,,
232278395026,312,3,,
232278395027,94,4,,
232278395032,587,7,1015,
232278395034,61,4,515,
232278395036,557,5,2015,
232278395037,123,7,815,
232278395043,437,6,415,
232278395045,61,4,,
232278395046,267,5,,
232278395050,324,5,,
232278395051,267,5,,
232278395054,437,6,1415,
232278395056,731,5,915,
232278395057,352,5,,
232278395061,250,5,,
232278797001,364,3,65,
232278797002,340,5,,
232278797006,364,3,515,
232278797010,100,4,815,
232278797012,117,5,1015,
232278797013,78,5,,
232278797016,72,4,,
232278797019,437,6,1215,
232278797022,255,5,,
232278797023,355,5,,
232278797026,117,5,65,
232278797031,117,5,215,
232278797032,350,5,2015,
232278797036,67,5,,
232278797037,456,3,,
232278797042,330,3,,
232278797046,267,5,,
232278797051,346,5,,
232278797052,,,,
232278797056,67,5,,
232278797058,67,5,,
232278797061,437,6,1015,
232278797063,346,5,,
232278797067,267,5,,
232278797069,346,5,,
232278797074,346,5,,
232278921002,142,5,615,
232278921003,117,5,1015,
232278921006,102,4,,
232278921008,381,5,4015,
232278921013,,,,
232278921015,,,,
232278921016,100,4,,
232278921017,355,5,,
232278921024,101,5,,
232278921025,,,,
232278921028,,,,
232278921030,524,3,,
232278921036,67,5,,
232278921040,61,4,,
232278921041,557,5,1315,
232278921042,61,4,,
232278921045,,,,
232278921047,346,5,,
232278921050,67,5,,
232278921052,74,5,515,
232278921053,,,,
232278921058,169,7,,
232278921060,267,5,,
232278921062,587,7,665,
232278921064,116,4,,
232288055001,312,3,,
232288055002,78,5,,
232288055006,169,7,1515,
232288055009,67,5,,
232288055011,,,,
232288055012,312,3,,
232288055016,,,,
232288055017,,,,
232288055021,,,,
232288055022,364,3,,
232288055027,364,3,,
232288055028,169,7,730,
232288055032,250,5,215,
232288055033,,,,
232288055037,,,,
232288055043,312,3,715,
232288055045,312,3,,
232288055046,,,,
232288055047,,,,
232288055054,74,5,,
232288055058,67,5,0,
232288055059,364,3,,
232288074001,34,4,,
232288074002,355,5,,
232288074008,34,4,,
232288074009,94,4,,
232288074012,142,5,65,
232288074016,78,5,,
232288074020,,,,
232288074021,34,4,,
232288074026,312,3,0,
232288074028,61,4,,
232288074031,,,,
232288074032,169,7,335,
232288074036,61,4,,
232288074037,267,5,,
232288074042,267,5,,
232288074044,364,3,,
232288074046,312,3,2515,
232288074048,,,,
232288074052,267,5,,
232288074053,67,5,,
232288074059,312,3,,
232288074060,267,5,,
232288074061,,,,
232288074062,312,3,,
232288074066,34,4,,
232288074070,255,5,,
232288074072,,,,
232288074078,,,,
232288696001,587,7,1515,
232288696003,,,,
232288696006,324,5,1002,
232288696008,111,2,2015,
232288696011,,,,
232288696014,364,3,787,
232288696019,67,5,,
232288696020,67,5,,
232288696021,1671,3,8015,
232288696023,,,,
232288696034,,,,
232288696035,267,5,,
232288696038,524,3,,
232288696039,267,5,,
232288696041,267,5,,
232288696044,98,6,,
232288696049,34,4,50,
232288696050,61,4,348,
232288696051,67,5,,
232288696052,346,5,,
232288696056,,,,
232288759001,67,5,265,
232288759002,34,4,,
232288759007,,,,
232288759008,94,4,,
232288759012,,,,
232288759015,312,3,,
232288759016,67,5,,
232288759017,142,5,,
232288759023,169,7,815,
232288759025,102,5,247,
232288759029,312,3,981,
232288759030,312,3,401,
232288759031,,,,
232288759033,,,,
232288759040,312,3,0,
232288759044,557,5,5015,
232288759046,364,3,115,
232288759047,524,3,0,
232288759052,524,3,,
232288759053,67,5,,
232288759056,,,,
232288759062,,,,
232288759066,,,,
232288759067,255,5,,
232288759072,,,,
232288759074,312,3,,
232288759076,267,5,515,
232288759077,524,3,,
232288797001,1671,3,315,
232288797003,67,5,,
232288797010,267,5,390,
232288797014,67,5,,
232288797015,98,6,15,
232288797016,312,3,,
232288797018,74,5,205,
232288797021,364,3,,
232288797026,267,5,305,
232288797027,312,3,3015,
232288797031,312,3,615,
232288797032,524,3,,
232288797039,267,5,,
232288797040,,,,
232288797044,78,5,,
232288797045,67,5,,
232288797046,74,5,,
232288797047,67,5,,
232288797052,312,3,,
232288797057,267,5,115,
232288797058,330,3,,
232288797064,437,6,,
232288797065,,,,
232288797066,524,3,,
232288797067,,,,
232288797074,330,3,,
232288797075,,,,
232288797077,67,5,615,
232288797078,267,5,,
232288797082,,,,
232288797083,364,3,765,
232288936001,,,,
232288936006,61,4,,
232288936007,94,4,,
232288936011,111,2,215,
232288936013,67,5,0,
232288936016,,,,
232288936017,,,,
232288936023,,,,
232288936025,,,,
232288936028,309,3,710,
232288936029,267,5,,
232288936034,105,7,655,
232288936036,,,,
232288936037,,,,
232288936044,78,5,,
232288936045,364,3,401,
232288936047,169,7,380,
232288936048,312,3,,
232288936053,,,,
232288936054,227,5,2961,
232288936057,67,5,,
232288936062,355,5,,
232288936063,94,4,515,
232288936066,330,3,,
232288936067,352,5,,
232288936075,67,5,,
232288936077,524,3,,
232288936078,,,,
232288936082,123,7,315,
232288982002,94,4,,
232288982003,61,4,,
232288982006,267,5,,
232288982009,330,3,1415,
232288982011,587,7,887,
232288982012,,,,
232288982017,94,4,,
232288982018,227,5,735,
232288982021,,,,
232288982022,98,6,,
232288982026,,,,
232288982029,74,5,,
232288982034,,,,
232288982035,,,,
232288982036,169,7,,
232288982039,,,,
232288982043,,,,
232288982044,117,5,1615,
232288982047,,,,
232288982054,,,,
232288982055,98,6,,
232288982058,,,,
232288982059,524,3,3207,
232288982065,364,3,,
232288982066,312,3,0,
232288982068,67,5,,
232298395001,34,4,,
232298395005,312,3,215,
232298395006,111,2,215,
232298395007,731,5,275,
232298395012,102,4,,
232298395015,324,5,,
232298395016,587,7,415,
232298395020,98,6,10,
232298395022,111,2,515,
232298395025,100,4,765,
232298395026,67,5,,
232298395028,123,7,1015,
232298395031,,,,
232298395032,74,5,,
232298395037,123,7,615,
232298395040,169,7,,
232298395042,72,5,,
232298395046,142,5,515,
232298395048,267,5,315,
232298395052,181,6,,
232298395053,267,5,,
232298395058,731,5,115,
232298395060,100,4,,
232298395063,78,5,,
232298395064,267,5,4015,
232298395066,324,5,,
232298797001,587,7,45,
232298797002,67,5,,
232298797004,,,,
232298797007,123,7,475,
232298797010,350,5,515,
232298797011,57,5,726,
232298797013,142,5,365,
232298797018,346,5,5015,
232298797019,67,5,,
232298797024,1671,5,15,
232298797026,100,4,,
232298797028,142,5,315,
232298797031,34,4,,
232298797032,,,,
232298797037,437,6,1515,
232298797038,111,2,35,
232298797042,169,7,,
232298797047,123,7,315,
232298797049,340,5,,
232298797051,340,5,,
232298797054,340,5,,
232298797056,98,6,,
232298797057,346,5,,
232298797065,100,4,,
232298797066,142,5,58,
232298797067,731,5,3015,
232298797071,557,5,215,
232298797072,267,5,,
232298853004,67,5,,
232298853005,355,5,,
232298853007,364,3,,
232298853010,102,4,0,
232298853011,94,4,,
232298853013,250,5,,
232298853019,101,5,,
232298853020,524,3,,
232298853022,67,5,,
232298853023,,,,
232298853026,456,3,,
232298853028,340,5,,
232298853034,346,5,,
232298853035,,,,
232298853036,,,,
232298853040,346,5,20015,
232298853043,267,5,,
232298853045,169,7,415,
232298853048,101,5,,
232298853049,267,5,,
232298853054,169,7,,
232298853055,169,7,3015,
232298853056,267,5,,
232298853057,34,4,,
232298921001,181,6,,
232298921002,169,7,2332,
232298921009,116,4,,
232298921010,,,,
232298921011,181,6,,
232298921012,524,3,,
232298921016,116,4,,
232298921018,,,,
232298921024,142,5,515,
232298921026,255,5,,
232298921027,98,6,,
232298921035,67,5,,
232298921036,,,,
232298921039,,,,
232298921042,142,5,165,
232298921044,61,4,,
232298921047,142,5,195,
232298921048,,,,
232298921051,267,5,,
232298921053,94,4,,
232298921056,330,3,515,
232298921057,,,,
232298921061,100,4,,
232298921063,,,,
232298921066,267,5,,
232298933003,364,3,,
232298933004,731,5,35,
232298933006,587,7,3247,
232298933007,102,4,,
232298933011,169,7,1415,
232298933013,123,7,189,
232298933016,,,,
232298933018,111,2,25,
232298933022,34,4,,
232298933025,61,4,,
232298933027,94,4,,
232298933029,,,,
232298933033,72,5,,
232298933035,101,5,,
232298933037,,,,
232298933038,255,5,6,
232298933043,123,7,115,
232298933044,34,4,,
232298933049,67,5,538,
232298933052,142,5,15,
232298933053,,,,
232298933056,346,5,,
232298933057,267,5,,
232298933062,330,3,,
232298933066,116,4,,
232298933070,181,6,,
232298970001,123,7,315,
232298970002,,,,
232298970008,98,6,,
232298970009,100,4,,
232298970011,116,4,1515,
232298970012,,,,
232298970017,587,7,2015,
232298970019,587,7,,
232298970023,,,,
232298970026,,,,
232298970028,,,,
232298970031,123,7,995,
232298970034,67,5,,
232298970036,101,5,,
232298970040,340,5,,
232298970041,,,,
232298970045,94,4,,
232298970048,,,,
232298970050,,,,
232298970052,,,,
232298970055,324,5,215,
232298970056,350,5,1015,
232298970058,123,7,555,
232298970061,169,7,1515,
232298970063,,,,
232298970068,,,,
232298970070,437,6,265,
232298970071,169,7,,
232418443001,250,,1500,
232418443005,352,5,,
232418443011,381,5,,
232418443016,267,5,,
232418443017,262,,300,
232418443021,,,,
232418443026,,,,
232418443032,,,,
232418443034,98,4,,
232418565001,123,7,550,
232418565005,,,,
232418565009,,,,
232418565015,117,,500,
232418565019,323,5,1221,
232418565022,86,2,,
232418565028,,,,
232418797001,383,2,,
232418797005,306,,1000,
232418797009,524,3,,
232418797014,74,5,,
232418797017,356,,500,
232418797023,250,,3000,
232418797027,346,5,,
232418797030,346,5,,
232418797034,354,0,,
232418797037,346,5,,
232418797043,381,5,,
232418797045,213,5,1854,
232418961004,322,2,,
232418961006,524,3,,
232418961012,180,,,
232418961013,86,2,,
232418961017,68,4,,
232418961021,94,4,,
232418961026,267,5,,
232418961030,,,,
232418961033,101,5,,
232428102006,322,2,,
232428102009,383,2,,
232428102013,322,2,,
232428102019,322,2,,
232428102024,383,2,,
232428102026,322,2,,
232428102030,322,2,,
232428102033,322,2,,
232428102040,322,2,,
232428102041,383,2,,
232428102046,383,2,,
232428696001,,,,
232428696005,388,2,4774,
232428696009,383,2,,
232428696013,383,2,,
232428696019,235,,500,
232428696022,383,2,,
232428696025,322,2,,
232428696031,98,6,,
232428696033,105,7,670,
232428696037,322,2,,
232428696041,225,,1500,
232428696046,383,2,,
232428696049,322,2,,
232428696054,383,2,,
232428696057,322,2,,
232428696063,383,2,,
232428861001,,,,
232428861005,,,,
232428861010,400,,1500,
232428861013,322,2,,
232428861018,74,5,,
232428861022,383,2,,
232428861026,200,,600,
232428861029,383,2,,
232428861034,190,,0,
232428861037,250,5,,
232428861044,72,5,,
232428861045,,,,
232428970001,333,,460,
232428970005,383,2,,
232428970006,,,,
232428970009,400,,500,
232428970015,300,,1500,
232428970018,1250,,3200,
232428970023,383,2,,
232428970025,,,,
232428970029,354,0,,
232428970036,383,2,,
232428970040,322,2,,
232428970044,,,,
232428970045,322,2,,
232428970050,,,,
232428970053,,,,
232448860033,,,,
232452578001,383,2,,
232452578006,,,,
232452578009,381,5,,
232452578013,4000,,772,
232452578017,250,,100,
232452578021,44,4,,
232452578025,,,,
232452578029,,,,
232452578033,267,5,,
232452578037,267,5,,
232452578041,98,6,,
232452578045,383,2,,
232458102002,383,2,,
232458102022,267,5,,
232458102027,,,,
232458102031,,,,
232458102037,160,5,,
232458102042,383,2,,
232458102047,98,6,,
232458102050,98,6,,
232458102053,,,,
232458102054,383,2,,
232458565001,500,,129,
232458565005,315,,700,
232458565010,,,,
232458565013,,,,
232458565018,,,,
232458565021,100,,694,
232458565028,,,,
232458565031,,,,
232458565035,346,5,,
232458961002,383,2,,
232458961008,352,5,,
232458961009,150,,607,
232458961016,44,4,,
232458961017,,,,
232458961022,115,,900,
232458961025,731,5,300,
232458961030,400,,1250,
232458961034,,,,
232458961038,267,5,,
232458982001,,,,
232458982005,,,,
232458982009,154,6,,
232458982013,,,,
232458982018,143,7,242,
232458982022,,,,
232458982025,,,,
232468404001,255,5,,
232468404005,313,,100,
232468404009,169,7,,
232468404013,,,,
232468404017,383,2,,
232468404023,383,2,,
232468404026,322,2,,
232468404030,322,2,,
232468404034,,,,
232468404038,322,2,,
232468404042,322,2,,
232468404048,325,,1250,
232468404049,322,2,,
232468404053,,,,
232468404060,72,5,,
232468404062,322,2,,
232468404065,383,2,,
232468404069,383,2,,
232468696002,325,,386,
232468696008,456,2,,
232468696012,169,7,,
232468696013,169,7,,
232468696019,750,,1246,
232468696022,,,,
232468696025,383,2,,
232468696030,340,5,,
232468696031,,,,
232468696033,150,,150,
232468696040,383,2,,
232468696042,,,,
232468696045,322,2,,
232468696050,383,2,,
232468696054,750,,1500,
232468696057,322,2,,
232468696062,383,2,,
232468696066,169,7,,
232468696071,354,0,,
232468696073,,,,
232468970001,,,,
232468970006,322,2,,
232468970010,354,0,,
232468970013,,,,
232468970019,322,2,,
232468970024,383,2,,
232468970026,322,2,,
232468970029,354,0,500,
232468970033,383,2,,
232468970038,,,,
232468970042,450,,565,
232468970045,352,5,,
232468970049,,,,
232468970054,,,,
232468970057,383,2,,
232468970061,2500,,,
232468970066,74,5,,
232478222003,,,,
232478222005,346,5,,
232478222011,74,5,,
232478222013,346,5,,
232478222017,322,2,,
232478222022,267,5,,
232478222026,44,4,,
232478222029,383,2,,
232478240002,383,2,,
232478240008,524,3,,
232478240009,331,,333,
232478240014,,,,
232478240017,267,5,1000,
232478240021,227,5,1321,
232478240025,,,,
232478240029,381,5,,
232478337004,267,5,,
232478337006,352,5,,
232478337011,169,7,,
232478337013,267,5,,
232478337017,44,4,,
232478337024,98,6,,
232478337025,,,,
